1.625	0.675   0.00058      0.675	0.307   0.00063      0.307	0.110   0.00063      0.110	0.018   0.00068      0.018	0.000   0.00094      0.000
1.650	0.605   0.00055      0.605	0.290   0.00058      0.290	0.113   0.00059      0.113	0.018   0.00085      0.018	0.000   0.00096      0.000
1.675	0.562   0.00058      0.562	0.282   0.00070      0.282	0.060   0.00065      0.060	0.007   0.00102      0.007	0.000   0.00102      0.000
1.700	0.573   0.00058      0.573	0.270   0.00061      0.270	0.062   0.00060      0.062	0.005   0.00075      0.005	0.000   0.00096      0.000
1.725	0.555   0.00056      0.555	0.210   0.00062      0.210	0.043   0.00062      0.043	0.007   0.00065      0.007	0.000   0.00095      0.000
1.750	0.532   0.00054      0.532	0.212   0.00067      0.212	0.048   0.00065      0.048	0.003   0.00067      0.003	0.000   0.00095      0.000
1.775	0.475   0.00069      0.475	0.217   0.00073      0.220	0.043   0.00060      0.043	0.000   0.00070      0.000	0.000   0.00090      0.000
1.800	0.430   0.00054      0.430	0.165   0.00075      0.165	0.022   0.00060      0.022	0.000   0.00074      0.000	0.000   0.00092      0.000
1.825	0.510   0.00060      0.510	0.142   0.00076      0.142	0.020   0.00059      0.020	0.000   0.00075      0.000	0.000   0.00087      0.000
1.850	0.415   0.00069      0.415	0.130   0.00064      0.130	0.015   0.00060      0.015	0.000   0.00072      0.000	0.000   0.00092      0.003
1.875	0.380   0.00057      0.380	0.107   0.00057      0.107	0.003   0.00063      0.003	0.000   0.00069      0.000	0.000   0.00097      0.000
1.900	0.325   0.00062      0.325	0.095   0.00063      0.095	0.005   0.00063      0.005	0.000   0.00067      0.000	0.000   0.00095      0.000
1.925	0.380   0.00062      0.380	0.072   0.00047      0.072	0.000   0.00063      0.000	0.000   0.00068      0.000	0.000   0.00103      0.000
1.950	0.312   0.00066      0.312	0.077   0.00065      0.077	0.003   0.00061      0.003	0.000   0.00072      0.000	0.000   0.00096      0.000
1.975	0.295   0.00059      0.295	0.048   0.00068      0.048	0.003   0.00058      0.003	0.000   0.00064      0.000	0.000   0.00098      0.000
2.000	0.270   0.00081      0.270	0.058   0.00060      0.058	0.003   0.00062      0.003	0.000   0.00069      0.000	0.000   0.00094      0.000
2.025	0.307   0.00053      0.307	0.052   0.00087      0.052	0.000   0.00061      0.000	0.000   0.00074      0.000	0.000   0.00084      0.000
2.050	0.170   0.00054      0.170	0.025   0.00054      0.025	0.003   0.00063      0.003	0.000   0.00077      0.000	0.000   0.00085      0.000
2.075	0.270   0.00056      0.270	0.030   0.00057      0.030	0.003   0.00067      0.003	0.000   0.00070      0.000	0.000   0.00118      0.000
2.100	0.182   0.00055      0.182	0.018   0.00046      0.018	0.000   0.00070      0.000	0.000   0.00075      0.000	0.000   0.00094      0.000
2.125	0.193   0.00056      0.193	0.015   0.00065      0.015	0.003   0.00072      0.003	0.000   0.00075      0.000	0.000   0.00093      0.000
2.150	0.185   0.00068      0.185	0.013   0.00065      0.013	0.000   0.00070      0.000	0.000   0.00068      0.000	0.000   0.00088      0.000
2.175	0.155   0.00056      0.155	0.025   0.00063      0.025	0.000   0.00069      0.000	0.000   0.00070      0.000	0.000   0.00093      0.000
2.200	0.160   0.00054      0.160	0.015   0.00067      0.015	0.000   0.00059      0.000	0.000   0.00065      0.000	0.000   0.00093      0.000
2.225	0.180   0.00049      0.180	0.010   0.00070      0.010	0.000   0.00074      0.000	0.000   0.00065      0.000	0.000   0.00096      0.000
2.250	0.140   0.00049      0.140	0.005   0.00062      0.005	0.000   0.00073      0.000	0.000   0.00057      0.000	0.000   0.00097      0.000
2.275	0.147   0.00058      0.147	0.003   0.00061      0.003	0.000   0.00071      0.000	0.000   0.00076      0.000	0.000   0.00109      0.000
2.300	0.120   0.00068      0.120	0.003   0.00066      0.003	0.000   0.00070      0.000	0.000   0.00080      0.000	0.000   0.00110      0.000
2.325	0.110   0.00061      0.110	0.003   0.00063      0.003	0.000   0.00068      0.000	0.000   0.00080      0.003	0.000   0.00088      0.000
2.350	0.090   0.00062      0.090	0.000   0.00058      0.000	0.000   0.00056      0.000	0.000   0.00067      0.000	0.000   0.00099      0.000
2.375	0.107   0.00057      0.107	0.005   0.00051      0.007	0.000   0.00060      0.000	0.000   0.00070      0.000	0.000   0.00105      0.000
2.400	0.102   0.00059      0.102	0.000   0.00061      0.000	0.000   0.00065      0.000	0.000   0.00073      0.000	0.000   0.00101      0.000
2.425	0.090   0.00058      0.090	0.003   0.00060      0.003	0.000   0.00063      0.000	0.000   0.00068      0.000	0.000   0.00099      0.000
2.450	0.058   0.00055      0.058	0.000   0.00062      0.000	0.000   0.00068      0.000	0.000   0.00074      0.000	0.000   0.00094      0.000
2.475	0.068   0.00056      0.068	0.000   0.00063      0.000	0.000   0.00068      0.000	0.000   0.00076      0.000	0.000   0.00098      0.000
2.500	0.043   0.00059      0.043	0.000   0.00060      0.000	0.000   0.00070      0.000	0.000   0.00073      0.000	0.000   0.00102      0.000
2.525	0.043   0.00057      0.043	0.000   0.00063      0.000	0.000   0.00066      0.000	0.000   0.00074      0.000	0.000   0.00106      0.000
2.550	0.050   0.00059      0.050	0.000   0.00059      0.000	0.000   0.00068      0.000	0.000   0.00080      0.000	0.000   0.00092      0.000
2.575	0.033   0.00058      0.033	0.000   0.00057      0.000	0.000   0.00057      0.000	0.000   0.00071      0.000	0.000   0.00084      0.000
2.600	0.030   0.00058      0.030	0.000   0.00057      0.000	0.000   0.00068      0.000	0.000   0.00074      0.000	0.000   0.00097      0.000
2.625	0.035   0.00060      0.035	0.000   0.00063      0.000	0.000   0.00062      0.000	0.000   0.00073      0.000	0.000   0.00103      0.003
2.650	0.028   0.00062      0.028	0.000   0.00062      0.000	0.000   0.00066      0.000	0.000   0.00070      0.000	0.000   0.00107      0.000
2.675	0.037   0.00058      0.037	0.000   0.00056      0.000	0.000   0.00069      0.000	0.000   0.00073      0.000	0.000   0.00103      0.000
2.700	0.025   0.00060      0.025	0.000   0.00065      0.000	0.000   0.00063      0.000	0.000   0.00073      0.000	0.000   0.00099      0.000
2.725	0.010   0.00059      0.010	0.000   0.00063      0.000	0.000   0.00066      0.000	0.000   0.00073      0.000	0.000   0.00100      0.000
2.750	0.030   0.00058      0.030	0.000   0.00063      0.003	0.000   0.00063      0.000	0.000   0.00076      0.000	0.000   0.00096      0.000
2.775	0.025   0.00060      0.025	0.000   0.00062      0.003	0.000   0.00060      0.000	0.000   0.00072      0.000	0.000   0.00117      0.000
2.800	0.010   0.00060      0.010	0.000   0.00058      0.003	0.000   0.00066      0.000	0.000   0.00072      0.000	0.000   0.00104      0.000
2.825	0.013   0.00056      0.015	0.000   0.00062      0.000	0.000   0.00067      0.000	0.000   0.00070      0.000	0.000   0.00096      0.000
2.850	0.018   0.00056      0.018	0.000   0.00059      0.003	0.000   0.00056      0.000	0.000   0.00063      0.000	0.000   0.00101      0.000
2.875	0.005   0.00059      0.005	0.000   0.00059      0.000	0.000   0.00061      0.000	0.000   0.00065      0.000	0.000   0.00102      0.000
2.900	0.007   0.00059      0.007	0.000   0.00064      0.000	0.000   0.00065      0.000	0.000   0.00114      0.000	0.000   0.00103      0.000
2.925	0.005   0.00059      0.005	0.000   0.00061      0.000	0.000   0.00065      0.000	0.000   0.00110      0.000	0.000   0.00108      0.000
2.950	0.007   0.00062      0.007	0.000   0.00062      0.000	0.000   0.00063      0.000	0.000   0.00080      0.000	0.000   0.00106      0.000
2.975	0.013   0.00058      0.013	0.000   0.00061      0.000	0.000   0.00066      0.000	0.000   0.00071      0.000	0.000   0.00102      0.000
3.000	0.013   0.00055      0.013	0.000   0.00059      0.000	0.000   0.00064      0.000	0.000   0.00072      0.000	0.000   0.00106      0.000
3.025	0.005   0.00063      0.005	0.000   0.00063      0.000	0.000   0.00062      0.000	0.000   0.00073      0.000	0.000   0.00106      0.000
3.050	0.005   0.00060      0.005	0.000   0.00054      0.000	0.000   0.00066      0.000	0.000   0.00075      0.000	0.000   0.00107      0.000
3.075	0.003   0.00067      0.003	0.000   0.00066      0.000	0.000   0.00066      0.000	0.000   0.00076      0.000	0.000   0.00103      0.000
3.100	0.007   0.00061      0.007	0.000   0.00056      0.000	0.000   0.00069      0.000	0.000   0.00079      0.000	0.000   0.00102      0.000
3.125	0.003   0.00065      0.003	0.000   0.00062      0.000	0.000   0.00067      0.000	0.000   0.00074      0.000	0.000   0.00101      0.000
3.150	0.000   0.00095      0.000	0.000   0.00062      0.000	0.000   0.00065      0.000	0.000   0.00074      0.000	0.000   0.00106      0.000
3.175	0.003   0.00055      0.003	0.000   0.00064      0.000	0.000   0.00061      0.000	0.000   0.00075      0.000	0.000   0.00114      0.000
3.200	0.000   0.00060      0.000	0.000   0.00059      0.000	0.000   0.00064      0.000	0.000   0.00074      0.000	0.000   0.00107      0.000
3.225	0.003   0.00056      0.003	0.000   0.00056      0.000	0.000   0.00063      0.000	0.000   0.00075      0.000	0.000   0.00104      0.000
